SMILES,name,fold
COc1cccc(c1O)/C=C(/c1nc2c([nH]1)cccc2)C#N,"'8F06",8.82
COc1cccc(c1O)/C=N/NC(=N)N,"'8G11",4.86
N#C/C(=C/c1ccc[nH]1)/c1nc2c([nH]1)cc(cc2)C,"'48B06",3.92
C1CCN(CC1)Cn1c2ccccc2c2c1nc1ccccc1n2,"'46D07",9.97
Clc1ccc2c(c1)c(c1ccccc1)c(c(=O)[nH]2)C1=NN(C(C1)c1ccco1)C(=O)C,"'47D09",3.36
OCCN1C(=O)C2C(C1=O)CC=C(C2)Cl,"'47E11",3.14
CCOC(=O)c1cnc2c(c1NCc1ccco1)ccc(c2C)Cl,"'45G06",5.75
OCCCNc1c(cnc2c1cc(Cl)cc2C)C(=O)OCC,"'86A04",7.14
CCOC(=O)c1cnc2c(c1NCCCN1CCOCC1)ccc(c2C)Cl,"'86B04",10.58
Cc1ccc2c(c1)nc(c(c2)/C=C1/SC(=N)N(C1=O)C(=O)C)O,"'85B08",8.50
COc1ccc2c(c1)c(C(=O)O)c(n2CCc1ccc(c(c1)OC)OC)C,"'85C03",5.07
COc1ccc(cc1Br)/C=C/C(=O)Nc1nc2c(s1)cc(cc2)S(=O)(=O)C,"'86D03",3.27
O=C(N1CCOCC1)O/N=C(/c1ccccn1)N,"'86D10",4.32
O=C(c1cc2c(o1)cccc2)Nc1nc2c(s1)cc(cc2)S(=O)(=O)C,"'86H03",7.40
N#C/C(=Cc1c(Oc2cccc(c2)C)nc2n(c1=O)cccc2)/c1nc2c([nH]1)cccc2,"'128A05",5.19
c1ccc(cn1)c1[nH]c2c(n1)cc(cc2)Oc1ccc2c(c1)nc([nH]2)c1cccnc1,"'125B09",11.18
n1ccc(cc1)c1[nH]c2c(n1)cc(cc2)Oc1ccc2c(c1)nc([nH]2)c1ccncc1,"'125C09",11.49
CCOCCCNC(=O)/C(=C/c1c(Oc2ccc(cc2)Br)nc2n(c1=O)cccc2)/C#N,"'128D02",3.29
COc1cc(ccc1OC)C(=O)Cn1c2nc(nn2c2c1cccc2)c1ccccc1,"'125E08",4.24
N#C/C(=Cc1c(Oc2ccccc2)nc2n(c1=O)cccc2)/c1nc2c(s1)cccc2,"'127E09",14.33
COc1cc(ccc1OC)c1cn2c(n1)n(c1c2cccc1)N,"'125F08",3.59
COc1ccc(c(c1)C)C=C1C(=O)c2c(C1=O)cccc2,"'125F09",3.15
N=C(Nc1nc(C)c2c(n1)cccc2)NC(=O)CCN1C(=O)c2c(C1=O)cccc2,"'125F11",5.38
COc1ccc(cc1O)C=C1C(=O)c2c(C1=O)cccc2,"'125G09",4.38
N#C/C(=Cc1c(Oc2ccccc2Cl)nc2n(c1=O)cccc2)/c1nc2c([nH]1)cccc2,"'128G08",8.21
CCOC(=O)c1cnc(nc1N)SCc1cccc(c1)C,"'125H11",5.16
