srcplate384	srcwell384	srcplate96	srcwell96	mass	destplate1	destwell1	destplate2	destwell2	destplate3	destwell3	destplate4	destwell4	destplate5	destwell5	destplate6	destwell6	destplate7	destwell7	destplate8	destwell8	destplate9	destwell9	destplate10	destwell10
CDIQ0005	A03	CDIV0005	A02	396.1007	V64A	C03	V64A	M06	V64A	E12	V64A	H20	V64A	L23	V64B	M06	V64B	E07	V64B	O14	V64B	H18	RA	1
CDIQ0005	C03	CDIV0005	B02	328.1787	V64A	J02	V64A	I08	V64A	F12	V64A	M20	V64B	A01	V64B	L05	V64B	D12	V64B	J11	V64B	K18	RC	1
CDIQ0005	E03	CDIV0005	C02	369.1940	V64A	P04	V64A	H07	V64A	L11	V64A	E17	V64B	G02	V64B	J04	V64B	C09	V64B	B13	V64B	F22	RE	1
CDIQ0005	G03	CDIV0005	D02	407.1055	V64A	D06	V64A	O09	V64A	D15	V64A	G19	V64A	G21	V64B	P02	V64B	K07	V64B	O11	V64B	D17	RG	1
CDIQ0005	I03	CDIV0005	E02	408.0745	V64A	D03	V64A	J10	V64A	L13	V64A	E20	V64A	N21	V64B	P06	V64B	L08	V64B	P16	V64B	L19	RI	1
CDIQ0005	K03	CDIV0005	F02	336.1474	V64A	H06	V64A	D08	V64A	C15	V64A	I16	V64A	I22	V64B	E06	V64B	E10	V64B	N15	V64B	H17	RK	1
CDIQ0005	M03	CDIV0005	G02	245.0688	V64A	G01	V64A	B08	V64A	F16	V64A	K17	V64A	L21	V64B	D04	V64B	I09	V64B	D13	V64B	L20	RM	1
CDIQ0005	O03	CDIV0005	H02	308.9637	V64A	D03	V64A	I09	V64A	O12	V64A	F20	V64B	G01	V64B	E06	V64B	B09	V64B	J14	V64B	C22	RO	1
CDIQ0005	B03	CDIV0007	A02	468.1719	V64A	E04	V64A	P10	V64A	O13	V64A	M20	V64B	E02	V64B	K06	V64B	B08	V64B	J13	V64B	O18	RB	1
CDIQ0005	D03	CDIV0007	B02	458.1148	V64A	L03	V64A	I08	V64A	I14	V64A	I19	V64B	H01	V64B	O06	V64B	O10	V64B	H13	V64B	N18	RD	1
CDIQ0005	F03	CDIV0007	C02	281.1086	V64A	D03	V64A	K05	V64A	G12	V64A	K20	V64B	B01	V64B	F04	V64B	K10	V64B	L13	V64B	K18	RF	1
CDIQ0005	H03	CDIV0007	D02	413.0255	V64A	P02	V64A	L09	V64A	D14	V64A	L20	V64A	L22	V64B	N04	V64B	M07	V64B	P12	V64B	D21	RH	1
CDIQ0005	J03	CDIV0007	E02	229.1467	V64A	G03	V64A	I08	V64A	D14	V64A	O15	V64A	C21	V64B	L01	V64B	N07	V64B	K12	V64B	I17	RJ	1
CDIQ0005	L03	CDIV0007	F02	338.0725	V64A	E06	V64A	H07	V64A	G13	V64A	J19	V64A	C23	V64B	D04	V64B	H10	V64B	E13	V64B	K19	RL	1
CDIQ0005	N03	CDIV0007	G02	328.1787	V64A	E04	V64A	L08	V64A	L11	V64A	G17	V64A	M22	V64B	D04	V64B	H10	V64B	G13	V64B	G19	RN	1
CDIQ0005	P03	CDIV0007	H02	487.0227	V64A	O02	V64A	O10	V64A	L14	V64A	B20	V64A	B23	V64B	K01	V64B	K10	V64B	I14	V64B	E17	RP	1
CDIQ0005	A04	CDIV0006	A02	369.1576	V64A	M03	V64A	H07	V64A	C11	V64A	L18	V64A	J23	V64B	N06	V64B	O08	V64B	N12	V64B	A22	RA	1
CDIQ0005	C04	CDIV0006	B02	411.2410	V64A	H01	V64A	F07	V64A	K12	V64A	F20	V64A	O23	V64B	L01	V64B	F11	V64B	D16	V64B	M20	RC	1
CDIQ0005	E04	CDIV0006	C02	381.1576	V64A	E03	V64A	J07	V64A	M11	V64A	G18	V64A	K23	V64B	B04	V64B	H09	V64B	J12	V64B	P18	RE	1
CDIQ0005	G04	CDIV0006	D02	413.1838	V64A	A06	V64A	K08	V64A	E16	V64A	F17	V64A	P21	V64B	E05	V64B	O08	V64B	M12	V64B	C21	RG	1
CDIQ0005	I04	CDIV0006	E02	343.1584	V64A	G01	V64A	C08	V64A	B11	V64A	L19	V64A	G24	V64B	G05	V64B	P09	V64B	B14	V64B	D18	RI	1
CDIQ0005	K04	CDIV0006	F02	353.1991	V64A	M02	V64A	H08	V64A	H13	V64A	H18	V64B	C02	V64B	G05	V64B	K08	V64B	O13	V64B	O19	RK	1
CDIQ0005	M04	CDIV0006	G02	413.2202	V64A	G05	V64A	O08	V64A	D14	V64A	P16	V64B	A01	V64B	A06	V64B	O09	V64B	E16	V64B	P19	RM	1
CDIQ0005	O04	CDIV0006	H02	429.2151	V64A	L03	V64A	K09	V64A	E11	V64A	J15	V64A	A22	V64B	A05	V64B	B10	V64B	I14	V64B	D17	RO	1
