name,mass,mzoffset_1,mzoffset_2,mzoffset_3,mzoffset_4,mzoffset_5,mzoffset_6,mzoffset_7,mzoffset_8,mzoffset_9,mzoffset_10,mzoffset_11,mzoffset_12,mzoffset_13,mzoffset_14,mzoffset_15,mzoffset_16,mzoffset_17,mzoffset_18,mzoffset_19,mzoffset_20,mzoffset_21,mzoffset_22,mzoffset_23,mzoffset_24,mzoffset_25,mzoffset_26,mzoffset_27,mzoffset_28,mzoffset_29,mzoffset_30,mzoffset_31,mzoffset_32,mzoffset_33,mzoffset_34,mzoffset_35,mzoffset_36,mzoffset_37,mzoffset_38,mzoffset_39,mzoffset_40,mzoffset_41,mzoffset_42,elution_1,elution_2,elution_3,elution_4,elution_5,elution_6,elution_7,elution_8,elution_9,elution_10,elution_11,elution_12,elution_13,elution_14,elution_15,elution_16,elution_17,elution_18,elution_19,elution_20,elution_21,elution_22,elution_23,elution_24,elution_25,elution_26,elution_27,elution_28,elution_29,elution_30,elution_31,elution_32,elution_33,elution_34,elution_35,elution_36,elution_37,elution_38,elution_39,elution_40,elution_41,elution_42,ioncount_1,ioncount_2,ioncount_3,ioncount_4,ioncount_5,ioncount_6,ioncount_7,ioncount_8,ioncount_9,ioncount_10,ioncount_11,ioncount_12,ioncount_13,ioncount_14,ioncount_15,ioncount_16,ioncount_17,ioncount_18,ioncount_19,ioncount_20,ioncount_21,ioncount_22,ioncount_23,ioncount_24,ioncount_25,ioncount_26,ioncount_27,ioncount_28,ioncount_29,ioncount_30,ioncount_31,ioncount_32,ioncount_33,ioncount_34,ioncount_35,ioncount_36,ioncount_37,ioncount_38,ioncount_39,ioncount_40,ioncount_41,ioncount_42,files_1,files_2,files_3,files_4,files_5,files_6,files_7,files_8,files_9,files_10,files_11,files_12,files_13,files_14
125A02,283.1320768055,0,0,0,0,0,0,0,0,0,0,-8.25973146447723e-05,0,4.25480359353969e-05,0.000166681911025535,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,5.82775509201383e-05,0,0.00041401305634281,0.000430882178932279,0,0,0,0,0,0,0,0,0,0,9.92506111111111,0,10.11695,10.0623444444444,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,9.99516666666667,0,9.93938333333333,10.0107666666667,0,0,0,0,0,0,0,0,0,0,438167.631510417,0,15994.1178385417,565020.373697917,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,2751.08056640625,0,1895.35107421875,2255.0625,,,,,,,,,,,"V2560A,V2560A-sn,V2560A-pre",,"V256A-D1,V256A-A7,V256A-G4","V5120,V5120,V5120"
125A03,334.0388164481,0,0,0,0,0,0,0,0,0,0,0.000215083690363826,0,-0.000125665938810471,0.00028242336867379,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,13.4169277777778,0,13.4983333333333,13.5160222222222,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,547565.572916667,0,29536.5244140625,240548.041666667,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,,,,,,,,,,,"V2560A,V2560A-sn,V2560A-pre",,"V256A-F2,V256A-C7,V256A-C5","V5120,V5120,V5120"
125A04,335.0825397971,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,,,,,,,,,,,"V2560A,V2560A-sn,V2560A-pre",,"V256A-B3,V256A-F4,V256A-A6","V5120,V5120,V5120"
125A05,351.0774544192,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,,,,,,,,,,,"V2560A,V2560A-sn,V2560A-pre",,"V256A-E2,V256A-G3,V256A-B6","V5120,V5120,V5120"
125A06,359.0672836634,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,,,,,,,,,,,"V2560A,V2560A-sn,V2560A-pre",,"V256A-F6,V256A-B1,V256A-D4","V5120,V5120,V5120"
125A07,393.0801565356,0,0,0,0,0,0,0,0,0,0,0.000304105522104692,0,0.000335575778251496,-0.000126554553276037,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,5.86958333333333,0,5.84008333333333,5.90495833333333,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,4272.2177734375,0,1918.96008300781,6963.33679199219,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,,,,,,,,,,,"V2560A,V2560A-sn,V2560A-pre",,"V256A-G2,V256A-E7,V256A-B4","V5120,V5120,V5120"
125A08,311.0728473671,0,0,0,0,0,0,0,0,0,0,0.000290693895806271,0,-8.4251609621333e-05,0.000191221913155459,0,0,0,0,0,0,0,0,0,0,0.000444553238935441,0,NaN,0.000379827469487282,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,16.7402777777778,0,16.8348333333333,16.8572777777778,0,0,0,0,0,0,0,0,0,0,16.7945,0,NaN,16.7755,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,507559.364583333,0,40996.6310221354,685175.9375,0,0,0,0,0,0,0,0,0,0,22206.873046875,0,NaN,33499.52734375,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,,,,,,,,,,,"V2560A,V2560A-sn,V2560A-pre",,"V256A-F6,V256A-F1,V256A-E5","V5120,V5120,V5120"
125A09,404.1385591669,0,0,0,0,0,0,0,0,0,0,-5.45301906527129e-05,0,2.27103751058166e-05,-0.000149949687909157,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,8.5302,0,8.65272222222222,8.59293888888889,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,58715.3020833333,0,21069.919921875,79672.6197916667,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,,,,,,,,,,,"V2560A,V2560A-sn,V2560A-pre",,"V256A-B1,V256A-B7,V256A-F5","V5120,V5120,V5120"
125A10,457.082718616878,0,0,0,0,0,0,0,0,0,0,0.000482466732307785,0,0.00041189816545284,0.000419385036934727,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,2.86163333333333,0,2.8942,2.76131666666667,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,3539.46997070312,0,4544.36010742188,2751,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,,,,,,,,,,,"V2560A,V2560A-sn,V2560A-pre",,"V256A-F7,V256A-D3,V256A-F3","V5120,V5120,V5120"
125A11,261.1728789877,0,0,0,0,0,0,0,0,0,0,0.000101139667606276,0,0.000279589212482279,0.000160714764319891,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,6.12425,0,6.16883333333333,6.15948333333333,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,1045061.48697917,0,467594.364583333,765032.145833333,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,,,,,,,,,,,"V2560A,V2560A-sn,V2560A-pre",,"V256A-G6,V256A-G1,V256A-F4","V5120,V5120,V5120"
